IMS Transaction: IMT,Vendor Order No.,IMS Transaction Detail: IMTD,Item Detail: IMD,Item Detail: SIS Barcode,Item Detail: Item Description
IMT-000000019,3256385,IMTD-000000042,IMD-000001517,6-34-2G41IZA,Port Authority Long Sleeve Silk Touch Performance Polo K540LS Royal Blue - XL
IMT-000000019,3256385,IMTD-000000041,IMD-000001516,6-34-2G31IZA,Port Authority Long Sleeve Silk Touch Performance Polo K540LS Royal Blue - L
IMT-000000019,3256385,IMTD-000000040,IMD-000001515,6-34-2G21IZA,Port Authority Long Sleeve Silk Touch Performance Polo K540LS Royal Blue - M
IMT-000000019,3256385,IMTD-000000039,IMD-000001514,6-34-2G11IZA,Port Authority Long Sleeve Silk Touch Performance Polo K540LS Royal Blue - S
