IMS_Master__r_Billing_Location__r_Client_from_Parent__c,IMS_Master__r_Billing_Location__r_Job_From_Name__c,IMS_Master__r_Order_Group__c,IMS_Master__r_Product_Name__c,IMS_Master__r_Manufacturer__r_Name,IMS_Master__r_Manufacturer_Number__c,IMS_Master__r_Feature__c,IMS_Master__r_Color__c,IMS_Master__r_IMS_Build__r_Logo_Design_1__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_1__c,IMS_Master__r_IMS_Build__r_Logo_Design_2__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_2__c,IMS_Master__r_IMS_Build__r_Logo_Design_3__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_3__c,IMS_Master__r_IMS_Build__r_Logo_Design_4__r_Logo_Number__c,IMS_Master__r_IMS_Build__r_Logo_Location_4__c,Size__c,IMS_Master__r_Class__c,IMS_Master__r_Category__c,IMS_Master__r_Group__c,IMS_Master__r_Sub_Group__c,Id
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",32,Uniform,Clothing,Campus,Specialist,a4bA00000016aZGIAY
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,TaskForce Zephyr Desert GTX 9" High Boot,LOWA Boots LLC,FW218,"",Khaki,"","","","","","","","",7,Uniform,Clothing,Campus,General,a4bA00000016afwIAA
Nike,"Nike OR, Beaverton",Nike,24/7 Classic Pant,TRU-SPEC,TR727,"",Black,"","","","","","","","",34,Uniform,Clothing,Campus,Specialist,a4bA00000016ayaIAA
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",46,Uniform,Clothing,Campus,Specialist,a4bA00000016acEIAQ
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,TaskForce Zephyr Desert GTX 9" High Boot,LOWA Boots LLC,FW218,"",Khaki,"","","","","","","","",7.5,Uniform,Clothing,Campus,General,a4bA00000016afxIAA
"Apple, Inc./Reno",Apple Reno,Apple iCloud Data Center - Reno,TaskForce Zephyr Desert GTX 9" High Boot,LOWA Boots LLC,FW218,"",Khaki,"","","","","","","","",10.5,Uniform,Clothing,Campus,General,a4bA00000016afyIAA
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",32,Uniform,Clothing,Campus,Specialist,a4bA00000016aa8IAA
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",32,Uniform,Clothing,Campus,Specialist,a4bA00000016aa9IAA
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",30,Uniform,Clothing,Campus,Specialist,a4bA00000016aZtIAI
"Apple, Inc.","Apple AZ, Wittmann","Apple, Inc.",Taclite Pro,5.11 Tactical,TR506,"",Khaki,"","","","","","","","",30,Uniform,Clothing,Campus,Specialist,a4bA00000016aa3IAA
